family,matrix,nv,ne,kind,ac_build_s,ac_solve_s,ac_tot_s,ac_its,ac_err,ac_fail,ac-s2m2_build_s,ac-s2m2_solve_s,ac-s2m2_tot_s,ac-s2m2_its,ac-s2m2_err,ac-s2m2_fail,cmg-v_build_s,cmg-v_solve_s,cmg-v_tot_s,cmg-v_its,cmg-v_err,cmg-v_fail,cmg-k_build_s,cmg-k_solve_s,cmg-k_tot_s,cmg-k_its,cmg-k_err,cmg-k_fail,cmg-k-elim_build_s,cmg-k-elim_solve_s,cmg-k-elim_tot_s,cmg-k-elim_its,cmg-k-elim_err,cmg-k-elim_fail
sachdeva_star,"star_join(complete_graph(150), 75)",11251,1687651,lap,0.385647,0.790163,1.17581,143,8.00854e-09,0,0.872557,0.115399,0.987956,31,7.56507e-09,0,0.180543,0.10767,0.288213,7,9.23837e-12,0,0.163398,0.176468,0.339866,8,6.46955e-09,0,0.158154,0.169092,0.327246,8,6.46955e-09,0
sachdeva_star,"star_join(complete_graph(200), 100)",20001,4000201,lap,1.06191,2.30227,3.36418,203,9.07761e-09,0,1.72788,0.433775,2.16166,36,6.68736e-09,0,0.372954,0.248885,0.621839,7,1.6623e-11,0,0.602249,0.445069,1.04732,8,3.16278e-09,0,0.536013,0.547107,1.08312,8,3.16278e-09,0
sachdeva_star,"star_join(complete_graph(250), 125)",31251,7812751,lap,1.97803,5.36524,7.34327,258,9.81975e-09,0,3.56433,0.742588,4.30692,38,7.509e-09,0,0.92051,0.51626,1.43677,7,1.92063e-11,0,0.942167,1.2962,2.23837,10,3.38406e-09,0,1.18372,1.04056,2.22428,10,3.38406e-09,0
sachdeva_star,"star_join(complete_graph(300), 150)",45001,13500301,lap,3.31053,12.0024,15.313,341,9.93889e-09,0,8.17998,1.45526,9.63524,41,7.89325e-09,0,1.73251,0.842278,2.57479,7,1.97586e-11,0,1.58165,2.40308,3.98472,13,8.61045e-10,0,1.68729,2.35339,4.04068,13,8.61045e-10,0
sachdeva_star,"star_join(complete_graph(350), 175)",61251,21437851,lap,7.79556,21.1558,28.9513,379,9.80193e-09,0,12.3166,2.33275,14.6493,40,7.8629e-09,0,2.70999,1.58562,4.29561,7,1.61167e-11,0,2.96863,4.97624,7.94487,17,7.15775e-09,0,2.53245,5.15313,7.68558,17,7.15775e-09,0
sachdeva_star,"star_join(complete_graph(400), 200)",80001,32000401,lap,8.66279,39.7112,48.374,460,9.98729e-09,0,21.0836,3.43649,24.5201,42,6.50768e-09,0,3.54338,1.98218,5.52556,7,2.14856e-11,0,3.80509,5.3367,9.14179,13,4.68421e-09,0,3.79246,6.17615,9.96861,13,4.68421e-09,0
sachdeva_star,"star_join(complete_graph(450), 225)",101251,45562951,lap,11.9672,58.3751,70.3423,505,9.98692e-09,0,26.053,4.69331,30.7463,41,9.75259e-09,0,5.69471,2.95886,8.65357,7,2.17813e-11,0,5.79233,4.54809,10.3404,7,9.97814e-09,0,5.60947,4.56337,10.1728,7,9.97814e-09,0
sachdeva_star,"star_join(complete_graph(500), 250)",125001,62500501,lap,21.5207,85.5097,107.03,531,9.93354e-09,0,46.5355,6.46214,52.9976,41,9.65547e-09,0,7.10547,3.90367,11.0091,7,1.93952e-11,0,7.73528,5.71418,13.4495,7,7.60507e-09,0,7.2943,6.11379,13.4081,7,7.60507e-09,0
sachdeva_star,"star_join(complete_graph(550), 275)",151251,83188051,lap,26.2474,129.754,156.001,602,9.97019e-09,0,58.987,9.09888,68.0859,42,8.99033e-09,0,9.19633,5.49016,14.6865,7,3.62382e-11,0,8.96115,8.58474,17.5459,7,5.01595e-09,0,9.74234,8.43252,18.1749,7,5.01595e-09,0
sachdeva_star,"star_join(complete_graph(600), 300)",180001,108000601,lap,29.3883,227.483,256.871,810,9.93076e-09,0,63.1801,12.0653,75.2454,43,9.10046e-09,0,12.9326,7.16815,20.1007,7,2.91449e-11,0,13.8005,11.2863,25.0868,7,3.51879e-09,0,12.1589,9.74987,21.9088,7,3.51879e-09,0
sachdeva_star,"star_join(complete_graph(650), 325)",211251,137313151,lap,41.3904,315.791,357.181,882,9.96434e-09,0,83.6251,15.6079,99.233,42,8.45988e-09,0,15.4881,8.81288,24.301,7,3.30926e-11,0,15.0073,13.3892,28.3965,7,2.4494e-09,0,16.0125,13.277,29.2895,7,2.4494e-09,0
sachdeva_star,"star_join(complete_graph(700), 350)",245001,171500701,lap,51.3542,259.774,311.128,579,5.2179e-07,0,106.9,20.0475,126.948,46,8.71185e-09,0,19.4619,10.4221,29.884,7,2.48073e-11,0,20.3719,16.6392,37.0111,7,2.50389e-09,0,19.5526,16.0175,35.5701,7,2.50389e-09,0
sachdeva_star,"star_join(complete_graph(750), 375)",281251,210938251,lap,63.2351,495.709,558.944,895,9.99835e-09,0,180.144,25.9833,206.127,47,7.63634e-09,0,22.7498,15.0014,37.7512,7,4.58448e-11,0,23.9235,21.6302,45.5537,7,2.23119e-09,0,26.2391,21.0977,47.3367,7,2.23119e-09,0
sachdeva_star,"star_join(complete_graph(800), 400)",320001,256000801,lap,99.7994,372.672,472.471,554,1.51805e-06,0,176.874,29.6814,206.556,45,8.43628e-09,0,41.9138,17.2162,59.13,7,2.95082e-11,0,35.4088,23.7454,59.1542,7,1.95982e-09,0,35.3506,25.8841,61.2347,7,1.95982e-09,0
suitesparse,Andrews/Andrews,60000,760154,lap,0.406666,0.116005,0.522671,16,8.70576e-09,0,0.871501,0.117295,0.988796,13,4.87679e-09,0,0.0838001,0.224187,0.307987,19,8.47857e-09,0,0.0836749,0.253327,0.337002,18,9.04313e-09,0,0.0878019,0.244623,0.332425,18,9.04313e-09,0
suitesparse,GHS_psdef/obstclae,40000,197608,sddm,0.0411351,0.0294881,0.0706232,20,8.67943e-09,0,0.0986531,0.0288899,0.127543,17,4.00528e-09,0,0.0155661,0.084795,0.100361,19,9.39413e-09,0,0.017369,0.0537779,0.071147,20,7.09748e-09,0,0.0271418,0.0544329,0.0815747,20,7.89191e-09,0
suitesparse,Gaertner/nopoly,10774,70842,lap,0.00956702,0.0216889,0.031256,29,7.86258e-09,0,0.0183361,0.01069,0.029026,20,4.69206e-09,0,0.00591207,0.0308409,0.0367529,29,8.14787e-09,0,0.00591898,0.0198019,0.0257208,31,5.75034e-09,0,0.00571203,0.019798,0.0255101,31,5.75034e-09,0
suitesparse,GHS_psdef/apache1,80800,542184,sddm,0.138802,0.0819368,0.220739,21,8.15853e-09,0,0.26509,0.0703208,0.335411,15,5.83592e-09,0,0.031595,0.112269,0.143864,17,9.31239e-09,0,0.0363371,0.0904741,0.126811,18,9.14676e-09,0,0.035161,0.100136,0.135297,18,9.14676e-09,0
suitesparse,GHS_psdef/jnlbrng1,40000,199200,sddm,0.0405369,0.0268118,0.0673487,17,3.68199e-09,0,0.088491,0.022686,0.111177,13,5.77733e-09,0,0.0162821,0.0755739,0.091856,18,9.00929e-09,0,0.0161049,0.0481532,0.0642581,18,7.81554e-09,0,0.0172799,0.049722,0.0670018,18,7.81554e-09,0
suitesparse,GHS_psdef/torsion1,40000,197608,sddm,0.0462382,0.0331759,0.0794141,21,4.92286e-09,0,0.095468,0.0290101,0.124478,17,6.07698e-09,0,0.0156729,0.0832889,0.0989618,19,9.95897e-09,0,0.0170219,0.0562408,0.0732627,20,7.36711e-09,0,0.026021,0.0573509,0.0833719,20,7.99228e-09,0
suitesparse,MaxPlanck/shallow_water1,81920,327680,sddm,0.0705612,0.0270531,0.0976143,10,5.75721e-09,0,0.115101,0.026021,0.141122,9,5.27116e-09,0,0.036299,0.0223551,0.0586541,17,5.89876e-10,0,0.033797,0.0219009,0.0556979,17,5.89876e-10,0,0.0374689,0.0208411,0.05831,17,5.89876e-10,0
suitesparse,McRae/ecology1,1000000,4996000,lap,1.43036,1.51626,2.94663,41,9.27277e-09,0,2.67329,1.13485,3.80814,25,6.94735e-09,0,0.342189,2.3027,2.64489,27,7.31033e-09,0,0.572905,1.56425,2.13716,24,9.6213e-09,0,0.367873,1.5784,1.94628,24,9.6213e-09,0
suitesparse,Norris/fv1,9604,85264,sddm,0.0153611,0.00726891,0.02263,15,3.20677e-09,0,0.027071,0.00626397,0.033335,12,2.36572e-09,0,0.0056541,0.00411987,0.00977397,24,1.02564e-08,0,0.00568414,0.00405383,0.00973797,24,1.02564e-08,0,0.00561094,0.00389099,0.00950193,24,1.02564e-08,0
suitesparse,MaxPlanck/shallow_water2,81920,327680,sddm,0.080606,0.0442381,0.124844,15,3.6451e-09,0,0.149346,0.0379319,0.187278,13,3.25741e-09,0,0.0380881,0.0499301,0.0880182,15,5.60203e-09,0,0.0399601,0.052907,0.0928671,16,4.99525e-09,0,0.04005,0.055424,0.095474,16,4.99525e-09,0
suitesparse,McRae/ecology2,999999,4995991,sddm,1.80975,1.50503,3.31478,42,8.01336e-09,0,3.52601,1.07533,4.60134,25,6.8465e-09,0,0.419063,2.5438,2.96286,28,6.19565e-09,0,0.616126,1.54738,2.16351,24,7.93633e-09,0,0.59247,1.6295,2.22197,24,7.93633e-09,0
suitesparse,Norris/fv2,9801,87025,sddm,0.013772,0.00681496,0.020587,14,1.04769e-08,0,0.0292931,0.00640202,0.0356951,12,2.92216e-09,0,0.00557804,0.00448108,0.0100591,24,1.01113e-08,0,0.0056169,0.00409412,0.00971103,24,1.01113e-08,0,0.00593901,0.00434804,0.010287,24,1.01113e-08,0
suitesparse,Oberwolfach/t2dal_e,4257,4257,sddm,0.00177312,0.000178814,0.00195193,1,2.61904e-16,0,0.00216389,0.000182152,0.00234604,1,2.61904e-16,0,0.00169802,0.000212908,0.00191092,2,9.41628e-17,0,0.00150299,0.000201941,0.00170493,2,9.41628e-17,0,0.001652,0.00022006,0.00187206,2,9.41628e-17,0
suitesparse,Norris/fv3,9801,87025,sddm,0.0147381,0.0116098,0.0263479,24,8.06189e-09,0,0.0294342,0.00841498,0.0378492,16,7.35739e-09,0,0.00507402,0.021378,0.0264521,23,8.36953e-09,0,0.00543618,0.016309,0.0217452,23,8.17182e-09,0,0.005373,0.016665,0.022038,23,8.17182e-09,0
suitesparse,Oberwolfach/t3dl_e,20360,20360,sddm,0.00730586,0.000521898,0.00782776,1,6.74881e-15,0,0.00981617,0.00056386,0.01038,1,6.74881e-15,0,0.00700188,0.000688076,0.00768995,2,1.04134e-16,0,0.00719881,0.000703096,0.00790191,2,1.04134e-16,0,0.00769901,0.000774145,0.00847316,2,1.04134e-16,0
suitesparse,HB/nos6,675,3255,sddm,0.000665188,0.000575066,0.00124025,20,7.50404e-09,0,0.00109196,0.000529051,0.00162101,18,6.88806e-09,0,0.000447989,0.000941992,0.00138998,24,5.05786e-09,0,0.000427961,0.000880003,0.00130796,24,5.05786e-09,0,0.000424862,0.000883102,0.00130796,24,5.05786e-09,0
suitesparse,HB/nos7,729,4617,sddm,0.0010469,0.000855923,0.00190282,25,5.64948e-09,0,0.00216007,0.000712872,0.00287294,17,8.68051e-09,0,0.000637054,0.000934124,0.00157118,20,7.69659e-09,0,0.000622988,0.000916958,0.00153995,20,7.69659e-09,0,0.000690937,0.000977993,0.00166893,20,7.69659e-09,0
suitesparse,HB/bcsstm08,1074,1074,sddm,0.000755787,0.000101089,0.000856876,1,6.96676e-16,0,0.00061202,7.82013e-05,0.000690222,1,6.96676e-16,0,0.000416994,6.91414e-05,0.000486135,2,1.73957e-16,0,0.000453949,6.91414e-05,0.00052309,2,1.73957e-16,0,0.000365019,7.20024e-05,0.000437021,2,1.73957e-16,0
suitesparse,HB/bcsstm09,1083,1083,sddm,0.000476122,8.10623e-05,0.000557184,1,9.0363e-16,0,0.000612974,9.01222e-05,0.000703096,1,9.0363e-16,0,0.000468016,6.69956e-05,0.000535011,2,1.16765e-16,0,0.000519991,6.79493e-05,0.00058794,2,1.16765e-16,0,0.000522137,7.48634e-05,0.000597,2,1.16765e-16,0
suitesparse,HB/bcsstm11,1473,1473,sddm,0.000626087,0.000113964,0.000740051,1,2.7538e-16,0,0.000775814,0.000111103,0.000886917,1,2.7538e-16,0,0.000634909,9.82285e-05,0.000733137,2,4.18937e-16,0,0.000629187,0.000118017,0.000747204,2,4.18937e-16,0,0.00062108,0.000103951,0.000725031,2,4.18937e-16,0
suitesparse,HB/bcsstm21,3600,3600,sddm,0.00136399,0.000135899,0.00149989,1,8.3993e-16,0,0.00174785,0.000138044,0.00188589,1,8.3993e-16,0,0.00134897,0.000150919,0.00149989,2,4.7755e-16,0,0.00141907,0.000159025,0.00157809,2,4.7755e-16,0,0.00247908,0.000238895,0.00271797,2,4.7755e-16,0
suitesparse,HB/bcsstm23,3134,3134,sddm,0.00123215,0.000142097,0.00137424,1,2.29478e-15,0,0.00152206,0.000130892,0.00165296,1,2.29478e-15,0,0.001194,0.000133991,0.00132799,2,2.74579e-16,0,0.00122404,0.000136137,0.00136018,2,2.74579e-16,0,0.00124192,0.000169992,0.00141191,2,2.74579e-16,0
suitesparse,HB/bcsstm24,3562,3562,sddm,0.00137496,0.000145912,0.00152087,1,6.66494e-15,0,0.00175905,0.000155926,0.00191498,1,6.66494e-15,0,0.00128222,0.000162125,0.00144434,2,2.81922e-16,0,0.00138211,0.000178099,0.00156021,2,2.81922e-16,0,0.00143194,0.000190973,0.00162292,2,2.81922e-16,0
suitesparse,HB/bcsstm25,15439,15439,sddm,0.00589585,0.000413895,0.00630975,1,2.84296e-15,0,0.0072608,0.000418901,0.0076797,1,2.84296e-15,0,0.00546408,0.000505924,0.00597,2,1.66944e-16,0,0.00569916,0.000525951,0.00622511,2,1.66944e-16,0,0.0056529,0.000549078,0.00620198,2,1.66944e-16,0
suitesparse,HB/bcsstm26,1922,1922,sddm,0.000847101,0.000139952,0.000987053,1,9.7805e-16,0,0.00103807,0.000120163,0.00115824,1,9.7805e-16,0,0.000746965,0.000127077,0.000874043,2,1.11419e-16,0,0.000983953,0.000149965,0.00113392,2,1.11419e-16,0,0.000854015,0.000152111,0.00100613,2,1.11419e-16,0
suitesparse,HB/gr_30_30,900,7744,sddm,0.00146103,0.000808954,0.00226998,19,4.04762e-09,0,0.00255895,0.000694036,0.00325298,15,6.55354e-09,0,0.000745058,0.00127101,0.00201607,23,3.59877e-09,0,0.000855207,0.00119996,0.00205517,23,3.59877e-09,0,0.000827074,0.00126505,0.00209212,23,3.59877e-09,0
suitesparse,Boeing/bcsstm39,46772,46772,sddm,0.0176711,0.00112915,0.0188003,1,7.42028e-15,0,0.022017,0.00116491,0.0231819,1,7.42028e-15,0,0.0167849,0.00148106,0.018266,2,4.55453e-16,0,0.0177369,0.00149107,0.019228,2,4.55453e-16,0,0.0176821,0.00181794,0.0195,2,4.55453e-16,0
suitesparse,JGD_BIBD/bibd_81_2,3240,3240,sddm,0.00127411,0.000162125,0.00143623,1,4.81808e-15,0,0.00161719,0.000139952,0.00175714,1,4.81808e-15,0,0.00123906,0.000138998,0.00137806,2,2.09239e-16,0,0.00117612,0.000144005,0.00132012,2,2.09239e-16,0,0.00123692,0.000159979,0.00139689,2,2.09239e-16,0
spe,spe0.5m,422400,2912312,sddm,1.5706,0.353329,1.92393,18,4.8913e-09,0,2.50488,0.292768,2.79765,13,2.3938e-09,0,0.255801,0.814763,1.07056,21,3.91741e-11,0,0.278494,0.840887,1.11938,24,1.57766e-10,0,0.283095,0.831332,1.11443,24,1.57766e-10,0
spe,spe2m,2097152,14581760,sddm,6.75683,2.62704,9.38387,21,4.76565e-09,0,12.72,2.21131,14.9313,14,5.31982e-09,0,1.74172,8.26906,10.0108,36,4.14957e-11,0,1.49925,3.32504,4.8243,25,1.09776e-10,0,1.86803,3.92391,5.79194,25,1.09776e-10,0
spe,spe4m,4096000,28518400,sddm,15.9473,6.34408,22.2914,21,3.43794e-09,0,27.7145,7.8021,35.5166,15,3.35509e-09,0,3.21147,9.6859,12.8974,22,2.0663e-10,0,3.4348,5.34261,8.77742,22,4.75989e-09,0,3.68328,6.10651,9.7898,22,4.75989e-09,0
spe,spe8m,8000000,55760000,sddm,31.8948,29.388,61.2828,37,4.64826e-09,0,59.6282,27.2597,86.888,25,4.67394e-09,0,6.58301,20.4962,27.0792,24,4.70816e-09,0,6.64908,17.736,24.3851,24,4.87018e-09,0,5.76484,15.8753,21.6402,24,4.87018e-09,0
spe,spe16m,16003008,111640032,sddm,63.7841,61.7069,125.491,39,4.08577e-09,0,125.799,51.8197,177.619,26,3.95905e-09,0,11.277,38.3478,49.6247,24,3.24882e-09,0,13.6916,34.7729,48.4645,24,4.64825e-09,0,13.9716,34.1747,48.1463,24,4.64825e-09,0
chimeraIPM,uni_chimera.n100000.i1.eps0.0001.1,100000,1100592,lap,0.799984,0.211367,1.01135,18,5.23533e-09,0,2.01406,0.224201,2.23826,13,6.24286e-09,0,0.136492,0.269904,0.406396,19,5.24315e-09,0,0.141112,0.301618,0.44273,19,8.84979e-09,0,0.136655,0.31924,0.455895,19,8.84979e-09,0
chimeraIPM,uni_chimera.n100000.i1.eps0.001.1,100000,1100592,lap,0.671319,0.198001,0.86932,18,4.55836e-09,0,1.90036,0.252862,2.15322,14,2.66731e-09,0,0.124401,0.266923,0.391324,19,6.11315e-09,0,0.124831,0.317246,0.442077,19,6.50903e-09,0,0.128431,0.308063,0.436494,19,6.50903e-09,0
chimeraIPM,uni_chimera.n100000.i1.eps0.01.1,100000,1100592,lap,0.684525,0.189263,0.873788,17,5.92732e-09,0,1.93109,0.230107,2.1612,13,6.10093e-09,0,0.136412,0.285171,0.421583,19,4.79799e-09,0,0.124808,0.32936,0.454168,19,6.82224e-09,0,0.134317,0.319359,0.453676,19,6.82224e-09,0
chimeraIPM,uni_chimera.n100000.i1.eps0.1.1,100000,1100592,lap,0.687661,0.188163,0.875824,17,4.27526e-09,0,1.92299,0.215201,2.13819,13,5.2859e-09,0,0.133788,0.250846,0.384634,18,8.46235e-09,0,0.137805,0.311262,0.449067,19,7.65998e-09,0,0.131824,0.311183,0.443007,19,7.65998e-09,0
chimeraIPM,uni_chimera.n100000.i1.eps0.0001.2,100000,1100592,lap,0.684105,0.192722,0.876827,18,4.37169e-09,0,1.95622,0.221108,2.17733,13,6.16995e-09,0,0.127938,0.274563,0.402501,18,9.01487e-09,0,0.125401,0.298222,0.423623,18,9.99729e-09,0,0.135111,0.291867,0.426978,18,9.99729e-09,0
chimeraIPM,uni_chimera.n100000.i1.eps0.001.2,100000,1100592,lap,0.66657,0.186633,0.853203,17,5.09058e-09,0,1.93059,0.235148,2.16574,13,7.97197e-09,0,0.125871,0.249276,0.375147,18,4.61816e-09,0,0.13644,0.299803,0.436243,19,6.51831e-09,0,0.123792,0.320902,0.444694,19,6.51831e-09,0
